City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,Pension Maro'i
11,Atuona,PF,80.91,overcast clouds,-9.8,-139.0333,Villa Enata
18,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
20,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
33,Rio De Janeiro,BR,84.2,clear sky,-22.9028,-43.2075,Hotel Málaga
47,Dingle,PH,78.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Siguatepeque,HN,75.2,few clouds,14.6,-87.8333,Orquidea Limon Suites
56,Pangai,TO,84.2,few clouds,-19.8,-174.35,Ha'apai Beach Resort
58,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
61,Kandrian,PG,82.33,light rain,-6.2167,149.55,Kandrian Station
64,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Port Hedland,AU,78.8,few clouds,-20.3167,118.5667,The Esplanade Hotel
67,Kirakira,SB,85.57,broken clouds,-10.4544,161.9205,SanBiz Lodge
68,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
70,Biltine,TD,73.33,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
71,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
72,Caravelas,BR,78.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
81,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
94,Dubai,AE,75.2,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
95,Phan Thiet,VN,73.67,broken clouds,10.9333,108.1,Hotel Saigon-PT
96,Hithadhoo,MV,78.66,moderate rain,-0.6,73.0833,Scoop Guest House
106,Les Cayes,HT,79.41,clear sky,18.2,-73.75,Villa Orphee
110,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
111,Port Hueneme,US,78.8,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
117,San-Pedro,CI,77.68,overcast clouds,4.7485,-6.6363,Hotel Maria
123,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
125,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
134,Nagua,DO,80.6,scattered clouds,19.3832,-69.8474,Hotel Cambri
135,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
137,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
138,Sambava,MG,76.91,light rain,-14.2667,50.1667,Melrose
139,Roebourne,AU,86.59,broken clouds,-20.7833,117.1333,Harding River Caravan Park
143,Puerto Colombia,CO,84.2,few clouds,10.9878,-74.9547,Hotel El Emigrante
145,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
149,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
151,Victoria,HK,75.99,few clouds,22.2855,114.1577,Mini Hotel Central
155,Na Klang,TH,82.99,broken clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
160,Isangel,VU,80.6,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
163,Poum,NC,80.69,few clouds,-20.2333,164.0167,Gîte kajeon
165,Iranshahr,IR,80.6,broken clouds,27.2025,60.6848,پلکه بزرگ
166,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
167,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
173,Iracoubo,GF,77.74,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
176,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
177,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
178,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
189,Guanica,PR,79.0,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
195,Sur,OM,83.07,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
201,Muisne,EC,82.4,light rain,0.6,-80.0333,Quinta Samay
204,Sokoto,NG,77.04,clear sky,13.0609,5.239,Shukura Coral Hotel
205,Jintur,IN,82.17,clear sky,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
206,Jammalamadugu,IN,78.75,broken clouds,14.8333,78.4,R and B Guest House
207,Puerto Baquerizo Moreno,EC,80.6,few clouds,-0.9,-89.6,Hotel los Algarrobos
209,Puerto Leguizamo,CO,73.53,moderate rain,-0.1934,-74.7819,la casona de juancho
212,Guayaramerin,BO,73.92,moderate rain,-10.8368,-65.3614,Hostal Funf
215,Mattru,SL,78.04,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
218,San Jose,US,80.01,few clouds,37.3394,-121.895,The Westin San Jose
219,Kalmunai,LK,77.18,overcast clouds,7.4167,81.8167,VS Villa
223,Itarema,BR,77.09,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
228,Itanhem,BR,75.13,clear sky,-17.1664,-40.33,Hotel Resende
230,Nogales,MX,79.0,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
232,Gladstone,AU,78.8,light rain,-23.85,151.25,Highpoint International
237,Agar,IN,79.61,clear sky,23.7,76.0167,Bherav Mandir
239,Gizo,SB,84.36,scattered clouds,-8.103,156.8419,Imagination Island
240,Dondaicha,IN,82.94,clear sky,21.3333,74.5667,Mahavir Farm House
250,Yeppoon,AU,77.0,scattered clouds,-23.1333,150.7333,Villa Mar Colina
252,Zorritos,PE,82.4,broken clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
254,Carauari,BR,74.61,broken clouds,-4.8828,-66.8958,Hotel Fellip
258,Statesboro,US,84.2,overcast clouds,32.4488,-81.7832,Holiday Inn Statesboro-University Area
260,Lhokseumawe,ID,77.04,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
261,Qeshm,IR,75.2,mist,26.9581,56.2719,Qeshm Kavan Hotel
264,Atar,MR,77.97,broken clouds,20.5169,-13.0499,Oumou Elghoura
265,Imbituba,BR,78.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
267,Pandan,PH,79.81,overcast clouds,14.0453,124.1694,Bonifacio Lodge
272,Kendari,ID,74.73,overcast clouds,-3.945,122.4989,Hotel Wixel
274,Faanui,PF,82.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Siesta Hotel
277,Jalingo,NG,82.51,few clouds,8.8833,11.3667,Debright Motel
278,Palauig,PH,80.47,overcast clouds,15.435,119.9045,Myhousebythesea
