City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,-4.0,77,90,10.36,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,51.8,46,0,6.91,clear sky
2,New Norfolk,AU,-42.7826,147.0587,55.99,59,68,1.01,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,79.2,73,3,15.55,clear sky
4,Jamestown,US,42.097,-79.2353,42.01,75,90,22.82,overcast clouds
5,Borger,NL,52.9233,6.7931,48.99,84,98,5.01,overcast clouds
6,Esperance,AU,-33.8667,121.9,66.2,72,0,12.66,clear sky
7,Ushuaia,AR,-54.8,-68.3,46.4,61,75,14.97,broken clouds
8,Khatanga,RU,71.9667,102.5,-3.96,98,100,6.87,overcast clouds
9,Kerikeri,NZ,-35.2268,173.9474,66.99,97,88,1.99,moderate rain
10,Bluff,NZ,-46.6,168.3333,59.0,98,85,8.99,overcast clouds
11,Atuona,PF,-9.8,-139.0333,80.91,74,98,17.13,overcast clouds
12,Shache,CN,38.4167,77.2406,54.79,45,100,5.26,overcast clouds
13,Belaya Gora,RU,68.5333,146.4167,1.24,92,79,3.44,broken clouds
14,Yellowknife,CA,62.456,-114.3525,26.6,43,75,17.27,broken clouds
15,Fairbanks,US,64.8378,-147.7164,19.0,48,1,3.44,clear sky
16,Bozeman,US,45.6796,-111.0386,64.4,17,1,31.07,clear sky
17,Caronport,CA,50.4501,-105.8179,62.6,23,44,14.97,scattered clouds
18,Kapaa,US,22.0752,-159.319,77.0,65,90,18.41,light rain
19,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,83,0,8.05,clear sky
20,Vaini,TO,-21.2,-175.2,84.2,79,40,10.36,scattered clouds
21,Acapulco,MX,16.8634,-99.8901,86.0,62,1,9.22,clear sky
22,Narsaq,GL,60.9167,-46.05,21.2,63,0,5.75,clear sky
23,Hermanus,ZA,-34.4187,19.2345,66.0,76,100,8.99,overcast clouds
24,Aswan,EG,24.0934,32.907,63.57,25,0,16.22,clear sky
25,Pevek,RU,69.7008,170.3133,-13.18,96,70,3.22,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,-20.13,77,66,6.02,broken clouds
27,Port Alfred,ZA,-33.5906,26.891,65.37,78,100,19.57,overcast clouds
28,Mpulungu,ZM,-8.7623,31.1141,71.44,71,96,4.23,overcast clouds
29,Albany,US,42.6001,-73.9662,53.01,83,100,1.99,moderate rain
30,Saint Anthony,US,45.0205,-93.218,46.0,33,1,13.8,clear sky
31,Leningradskiy,RU,69.3833,178.4167,-5.33,92,100,5.26,overcast clouds
32,Yafran,LY,32.0633,12.5286,58.32,22,12,9.86,few clouds
33,Rio De Janeiro,BR,-22.9028,-43.2075,84.2,89,0,12.66,clear sky
34,Livingstonia,MW,-10.606,34.1063,62.8,89,94,5.17,light rain
35,Castro,BR,-24.7911,-50.0119,65.52,89,100,4.36,overcast clouds
36,Busselton,AU,-33.65,115.3333,61.66,71,11,6.38,few clouds
37,Sitka,US,57.0531,-135.33,39.2,60,20,18.41,few clouds
38,Henties Bay,NA,-22.116,14.2845,61.0,91,0,1.99,clear sky
39,Hami,CN,42.8,93.45,57.87,24,85,8.14,overcast clouds
40,Nyzhni Sirohozy,UA,46.8484,34.3804,40.75,76,27,7.05,scattered clouds
41,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,11.5,overcast clouds
42,San Rafael,AR,-34.6177,-68.3301,67.26,33,0,9.24,clear sky
43,Batagay-Alyta,RU,67.8006,130.4114,-1.89,85,93,4.03,overcast clouds
44,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,40,10.36,scattered clouds
45,Kuopio,FI,62.8924,27.677,33.8,86,0,12.66,clear sky
46,Fortuna,US,40.5982,-124.1573,57.0,87,1,14.97,clear sky
47,Dingle,PH,10.9995,122.6711,78.17,85,100,6.38,overcast clouds
48,Margate,GB,51.3813,1.3862,50.0,70,95,10.0,overcast clouds
49,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,13.8,snow
50,Mar Del Plata,AR,-38.0023,-57.5575,66.2,82,20,10.36,few clouds
51,Zhigansk,RU,66.7697,123.3711,3.09,100,100,4.63,overcast clouds
52,Siguatepeque,HN,14.6,-87.8333,75.2,41,20,9.22,few clouds
53,Dikson,RU,73.5069,80.5464,-26.64,100,96,7.4,overcast clouds
54,Grindavik,IS,63.8424,-22.4338,28.4,100,90,16.11,light snow
55,Torbay,CA,47.6666,-52.7314,24.8,74,75,4.61,broken clouds
56,Pangai,TO,-19.8,-174.35,84.2,79,20,17.27,few clouds
57,Derzhavinsk,KZ,51.1,66.3167,13.23,95,13,9.33,few clouds
58,Bengkulu,ID,-3.8004,102.2655,76.42,89,99,0.87,overcast clouds
59,Mataura,NZ,-46.1927,168.8643,59.0,98,37,8.99,scattered clouds
60,Mochudi,BW,-24.4167,26.15,68.0,68,0,9.22,clear sky
61,Kandrian,PG,-6.2167,149.55,82.33,80,100,4.74,light rain
62,Tasiilaq,GL,65.6145,-37.6368,19.4,49,48,12.66,scattered clouds
63,Sao Filipe,CV,14.8961,-24.4956,69.96,73,58,16.82,broken clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,20,11.5,few clouds
65,Port Hedland,AU,-20.3167,118.5667,78.8,69,24,9.01,few clouds
66,Tiksi,RU,71.6872,128.8694,3.67,95,100,1.74,overcast clouds
67,Kirakira,SB,-10.4544,161.9205,85.57,69,60,5.77,broken clouds
68,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,6.91,clear sky
69,Avarua,CK,-21.2078,-159.775,84.2,74,90,20.71,overcast clouds
70,Biltine,TD,14.5333,20.9167,73.33,11,12,18.81,few clouds
71,Butaritari,KI,3.0707,172.7902,81.5,76,84,14.16,light rain
72,Caravelas,BR,-17.7125,-39.2481,78.04,75,0,7.4,clear sky
73,Garut,ID,-7.2024,107.8878,67.95,92,100,2.13,overcast clouds
74,Broken Hill,AU,-31.95,141.4333,60.8,55,2,11.5,clear sky
75,Dargaville,NZ,-35.9333,173.8833,69.85,85,86,6.06,light rain
76,Vostok,RU,46.4856,135.8833,34.99,91,100,4.12,light snow
77,Turinsk,RU,58.0458,63.696,27.41,87,93,11.83,overcast clouds
78,Fukue,JP,32.6881,128.8419,61.11,76,0,9.89,clear sky
79,Umba,RU,66.6871,34.3429,34.0,98,91,7.43,overcast clouds
80,College,US,64.8569,-147.8028,18.0,57,75,4.61,broken clouds
81,Georgetown,MY,5.4112,100.3354,80.01,94,20,1.14,few clouds
82,Usinsk,RU,65.9939,57.5281,20.84,96,99,7.47,light snow
83,Hobart,AU,-42.8794,147.3294,57.2,38,40,14.97,scattered clouds
84,Ngunguru,NZ,-35.6167,174.5,66.99,97,87,1.99,overcast clouds
85,Lompoc,US,34.6391,-120.4579,70.0,67,1,16.11,clear sky
86,Rawson,AR,-43.3002,-65.1023,60.82,80,62,13.6,broken clouds
87,Saldanha,ZA,-33.0117,17.9442,68.0,52,100,3.44,overcast clouds
